customer_id,full_name,date_of_birth,address,onboarding_date,segment,KYC_status,AML_status,risk_level_initial,current_risk_level,PEP_status,cdd_last_review_date,cdd_review_frequency,edd_required,edd_investigation_reason,source_of_funds_verified,account_balance
CUST_6B418019,Sandra Lee,1991-09-10,"3550 Pine St, San Antonio, TX",2023-06-26,Corporate,verified,prior_flag,low,medium,N,2025-08-30,quarterly,N,,True,3453110.79
CUST_793813EC,Ashley Rodriguez,1965-01-03,"7107 Cedar St, New York, NY",2023-06-02,Retail,verified,clean,medium,low,N,2025-07-17,semi-annually,N,,True,56825.07
CUST_A151C42E,Mark White,1951-06-19,"1784 Pine St, Seattle, WA",2022-06-02,Retail,verified,under_investigation,low,low,N,2025-08-08,semi-annually,Y,PEP status,True,442183.22
CUST_4D835AD5,Linda Martin,2004-03-26,"1871 Maple St, Los Angeles, CA",2022-06-08,Small Business,verified,clean,medium,low,N,2025-08-31,semi-annually,N,,True,429438.03
CUST_D323C449,Lisa Miller,1968-04-08,"8885 Pine St, New York, NY",2023-04-17,Retail,pending,cleared,low,low,N,2025-05-18,annually,N,,False,58555.53
CUST_CA86CFBD,James Garcia,1951-02-20,"827 Maple St, New York, NY",2023-08-18,Retail,verified,clean,medium,medium,N,2025-06-13,quarterly,N,,True,260440.25
CUST_978DFDC2,Sandra Moore,1996-12-22,"6791 Pine St, Fort Worth, TX",2023-12-05,Retail,pending,clean,low,low,N,2025-08-23,semi-annually,N,,True,348907.0
CUST_6583D27F,Nancy Jones,1991-07-22,"5379 Maple St, San Francisco, CA",2022-07-16,Small Business,verified,prior_flag,low,low,N,2025-07-20,semi-annually,N,,True,221637.74
CUST_B33BF632,Robert Taylor,2006-12-06,"3362 Oak St, New York, NY",2023-04-30,Retail,verified,clean,low,low,N,2025-05-19,semi-annually,N,,True,24060.65
CUST_466CD393,Patricia Martin,1975-11-19,"8586 Maple St, Los Angeles, CA",2022-03-16,Retail,verified,clean,low,low,N,2025-07-22,semi-annually,N,,True,279145.49
CUST_E973F83E,Dorothy Walker,1957-08-22,"7473 Pine St, San Diego, CA",2022-05-05,Retail,verified,clean,low,high,N,2025-09-28,quarterly,Y,Large cash deposits,True,420091.58
CUST_BBE4604F,James Clark,1989-04-09,"2603 Oak St, Chicago, IL",2023-06-18,Retail,verified,prior_flag,medium,medium,N,2025-09-30,quarterly,N,,True,208019.08
CUST_FACE6780,William Moore,1952-04-27,"4992 Maple St, Columbus, OH",2023-04-23,Retail,verified,prior_flag,medium,high,N,2025-07-08,quarterly,Y,High transaction volume,False,269572.06
CUST_7A692691,Margaret Moore,1963-08-08,"6555 Cedar St, Denver, CO",2023-09-10,Retail,verified,clean,low,high,N,2025-06-01,monthly,Y,High-risk jurisdiction,True,331836.88
CUST_C98951F5,Michael Lee,2004-08-06,"7805 Main St, Seattle, WA",2023-03-15,Retail,verified,clean,low,low,N,2025-09-04,annually,N,,True,26990.72
CUST_9D5631A5,Jennifer Davis,1998-11-02,"4298 Pine St, Philadelphia, PA",2023-10-28,Small Business,verified,clean,high,high,N,2025-06-16,monthly,Y,PEP status,True,303340.45
CUST_65C1C387,Margaret White,2001-03-10,"4078 Main St, San Jose, CA",2022-04-28,Retail,verified,cleared,low,low,N,2025-10-19,semi-annually,N,,True,425296.33
CUST_A1A177ED,Karen Lewis,1985-01-12,"6034 Maple St, Phoenix, AZ",2022-05-04,Retail,verified,clean,low,low,N,2025-10-11,annually,N,,True,218308.09
CUST_9E25CA96,Margaret Taylor,1988-09-25,"4095 Maple St, Denver, CO",2023-10-29,Retail,verified,prior_flag,low,medium,N,2025-08-28,quarterly,N,,True,305555.52
CUST_53EA0448,Richard Hernandez,2003-06-06,"1502 Oak St, Columbus, OH",2022-01-30,Retail,verified,clean,low,low,N,2025-06-28,semi-annually,N,,False,244800.35
CUST_9C050B53,Anthony Davis,1990-12-16,"5732 Maple St, Seattle, WA",2023-12-09,Retail,verified,clean,low,low,N,2025-07-09,annually,N,,True,166064.86
CUST_AA15EA8C,Matthew Anderson,1965-04-04,"8695 Cedar St, San Jose, CA",2022-10-05,Small Business,expired,clean,low,low,N,2025-08-29,annually,N,,True,490274.8
CUST_7FF17EBA,Donald Miller,1972-03-10,"8142 Main St, New York, NY",2022-10-31,Retail,expired,clean,low,low,N,2025-05-28,semi-annually,N,,True,287458.05
CUST_C20D1006,Patricia Thomas,1960-01-09,"9321 Pine St, Chicago, IL",2023-03-28,Corporate,verified,clean,medium,medium,N,2025-10-25,quarterly,N,,True,4969894.71
CUST_7B7F6B0B,Emily Moore,1987-10-08,"1725 Oak St, San Antonio, TX",2023-03-03,Small Business,verified,clean,low,low,N,2025-06-04,semi-annually,N,,False,133058.42
CUST_BA91A0F7,Michael Garcia,1984-02-06,"9763 Oak St, Columbus, OH",2022-09-03,Retail,verified,clean,low,high,N,2025-05-16,monthly,Y,PEP status,False,58273.37
CUST_274E0288,Lisa Lee,2001-03-03,"6694 Pine St, Indianapolis, IN",2022-06-02,Retail,verified,under_investigation,medium,medium,N,2025-07-11,quarterly,Y,Large cash deposits,True,270450.8
CUST_9A684598,Joseph Williams,2005-07-24,"9541 Main St, Philadelphia, PA",2023-09-05,Retail,expired,prior_flag,low,low,N,2025-05-19,semi-annually,N,,True,235779.91
CUST_A9497EE0,Daniel Anderson,1986-07-21,"4822 Maple St, Seattle, WA",2022-10-12,Small Business,verified,clean,high,high,N,2025-08-15,monthly,Y,Unusual transaction patterns,True,19311.87
CUST_52FF05FC,Michael Hernandez,1956-07-28,"7342 Main St, San Antonio, TX",2022-09-16,Retail,verified,clean,high,high,N,2025-06-01,quarterly,Y,Suspicious activity report filed,True,134261.06
CUST_6C237A8D,David Hall,2005-12-16,"1958 Maple St, Houston, TX",2022-10-22,Retail,verified,clean,high,high,N,2025-10-15,quarterly,Y,PEP status,False,324207.13
CUST_6E8A93B2,David Thomas,1994-05-14,"6898 Pine St, Indianapolis, IN",2022-10-26,Small Business,verified,clean,high,medium,N,2025-10-21,quarterly,N,,True,134319.16
CUST_216BE39D,John Martinez,1986-10-22,"4012 Cedar St, Fort Worth, TX",2022-11-02,Retail,verified,clean,low,low,N,2025-08-17,annually,N,,True,117547.66
CUST_D936E348,Anthony Wilson,1996-08-23,"9769 Pine St, Houston, TX",2022-02-14,Corporate,verified,clean,low,low,N,2025-10-06,semi-annually,N,,True,4377242.35
CUST_ED006815,Joseph Brown,1949-12-05,"5483 Cedar St, Fort Worth, TX",2023-06-23,Retail,verified,cleared,low,low,N,2025-05-25,annually,N,,True,477115.66
CUST_5CCE2248,Daniel White,1983-01-20,"1746 Maple St, Philadelphia, PA",2023-05-15,Retail,high-risk,clean,low,low,N,2025-05-29,semi-annually,N,,True,347306.58
CUST_AA9BD869,Mark Smith,1999-01-10,"6367 Cedar St, San Diego, CA",2022-02-17,Retail,verified,clean,low,low,N,2025-10-18,semi-annually,N,,True,249335.96
CUST_7DC51D1D,Charles Jones,1989-05-15,"5001 Maple St, Dallas, TX",2022-08-26,Retail,pending,clean,low,low,N,2025-08-11,annually,N,,False,228961.07
CUST_564AC884,Maria Miller,1979-02-08,"903 Cedar St, Charlotte, NC",2023-01-29,Retail,verified,clean,low,high,N,2025-11-05,quarterly,Y,High-risk jurisdiction,True,416586.61
CUST_96B73205,Mark Martinez,2000-06-08,"5161 Maple St, Los Angeles, CA",2022-08-24,Retail,verified,clean,low,medium,N,2025-05-31,quarterly,N,,True,290207.33
CUST_495AB8C6,Margaret Jones,1969-12-14,"7994 Pine St, Austin, TX",2022-04-03,Retail,expired,clean,low,low,N,2025-09-03,semi-annually,N,,False,402312.04
CUST_7B1B440A,Joseph Williams,1963-11-24,"6138 Pine St, Denver, CO",2022-05-25,Retail,verified,clean,low,low,N,2025-06-23,annually,N,,True,191131.72
CUST_4E2CC3A6,Daniel Lopez,1963-08-01,"5051 Maple St, Houston, TX",2022-04-21,Retail,verified,clean,medium,medium,N,2025-07-12,quarterly,N,,False,70748.73
CUST_4204B1CD,Sarah Martinez,1955-04-18,"8117 Cedar St, Columbus, OH",2023-05-20,Retail,verified,under_investigation,low,low,N,2025-07-24,semi-annually,Y,Large cash deposits,True,469587.48
CUST_301E562B,James Johnson,1962-08-15,"2101 Maple St, Chicago, IL",2023-12-08,Corporate,verified,clean,high,low,N,2025-07-29,semi-annually,N,,True,3330705.25
CUST_BB2A15C7,Daniel Lee,1952-06-08,"2517 Cedar St, New York, NY",2023-09-04,Corporate,verified,clean,medium,medium,N,2025-09-09,quarterly,N,,True,1422510.49
CUST_99FBF93D,David Jones,2000-03-04,"6997 Cedar St, Houston, TX",2023-07-08,Retail,verified,clean,low,low,Y,2025-09-01,monthly,Y,High transaction volume,True,373086.97
CUST_EAC14B1C,Patricia Anderson,1986-02-15,"610 Main St, Charlotte, NC",2023-01-06,Retail,verified,prior_flag,medium,medium,N,2025-07-13,quarterly,N,,True,423801.97
CUST_F549198E,Linda Thompson,1994-08-03,"8792 Pine St, San Francisco, CA",2022-04-21,Small Business,verified,clean,low,low,N,2025-08-02,annually,N,,False,253269.99
CUST_876CCE5E,Linda Brown,2003-11-21,"1657 Pine St, Columbus, OH",2023-12-20,Small Business,verified,prior_flag,medium,medium,N,2025-07-14,quarterly,N,,True,156949.26
CUST_710A94D9,James Lopez,1979-02-03,"5893 Maple St, Los Angeles, CA",2022-06-06,Small Business,verified,prior_flag,low,low,N,2025-05-20,annually,N,,True,484230.91
CUST_E8A44314,Karen Martinez,1985-09-07,"7130 Cedar St, Boston, MA",2022-12-27,Retail,verified,clean,low,low,N,2025-06-14,annually,N,,True,307173.07
CUST_89C51FEB,Daniel Moore,1991-12-09,"1240 Oak St, New York, NY",2022-01-27,Retail,pending,clean,low,low,N,2025-06-16,semi-annually,N,,True,46787.08
CUST_CA57BF49,Thomas Miller,1978-06-06,"915 Main St, Dallas, TX",2023-01-21,Retail,verified,clean,medium,medium,N,2025-09-28,quarterly,N,,True,222113.37
CUST_42B70D41,Linda Thomas,1975-05-07,"9919 Main St, New York, NY",2023-09-14,Small Business,verified,clean,low,low,N,2025-10-27,annually,N,,True,103007.14
CUST_71747849,Robert Clark,1965-05-11,"793 Maple St, New York, NY",2022-05-21,Retail,verified,clean,low,low,N,2025-10-20,annually,N,,True,230417.37
CUST_445CC0B4,Michael Walker,1976-10-13,"4086 Maple St, Denver, CO",2022-11-17,Small Business,verified,clean,low,high,N,2025-10-16,quarterly,Y,Unusual transaction patterns,True,200824.46
CUST_76ABA1C3,Michael Gonzalez,1970-04-11,"3332 Oak St, Boston, MA",2022-11-14,Small Business,verified,clean,low,high,N,2025-09-08,monthly,Y,High transaction volume,True,77282.02
CUST_CDBCEF00,Anthony Lee,1998-11-16,"7305 Main St, Charlotte, NC",2022-03-19,Retail,verified,prior_flag,low,low,N,2025-05-31,annually,N,,True,221661.82
CUST_98E089F8,Maria Lewis,1952-06-17,"6399 Maple St, Denver, CO",2022-10-09,Retail,verified,clean,low,low,N,2025-06-03,semi-annually,N,,True,277603.87
CUST_6E103BA7,Sandra Harris,2007-10-21,"4159 Maple St, San Francisco, CA",2022-02-12,Retail,expired,clean,low,high,N,2025-07-01,monthly,Y,Large cash deposits,True,262510.21
CUST_C5888339,Karen Garcia,2007-05-13,"4755 Pine St, Boston, MA",2023-01-08,Retail,verified,clean,low,low,N,2025-06-18,semi-annually,N,,True,436766.55
CUST_2A1AB864,William Williams,1958-06-10,"2193 Cedar St, Chicago, IL",2023-08-20,Corporate,verified,under_investigation,medium,medium,N,2025-08-03,quarterly,Y,Large cash deposits,True,3247822.86
CUST_37AD49B5,Linda Taylor,1972-05-06,"8943 Cedar St, Los Angeles, CA",2023-01-06,Corporate,verified,cleared,low,low,N,2025-10-13,annually,N,,True,3326549.72
CUST_E45F825F,Mark Clark,1987-07-05,"3991 Maple St, Boston, MA",2023-09-25,Retail,verified,clean,medium,medium,N,2025-07-25,quarterly,N,,True,143179.04
CUST_6738322A,Margaret Lewis,1983-04-10,"4716 Maple St, Indianapolis, IN",2023-04-05,Corporate,verified,clean,medium,medium,N,2025-07-18,quarterly,N,,True,2660925.95
CUST_5F585072,Jessica Robinson,1987-03-28,"2726 Pine St, San Francisco, CA",2022-07-24,Retail,verified,clean,low,medium,N,2025-08-27,quarterly,N,,True,452747.8
CUST_D0025863,David Robinson,2007-04-27,"5321 Main St, Austin, TX",2023-03-24,Retail,verified,clean,low,low,N,2025-08-04,semi-annually,N,,True,395898.94
CUST_07E86C20,David Johnson,1979-12-27,"8747 Maple St, Houston, TX",2022-10-21,Retail,verified,clean,medium,medium,N,2025-09-30,quarterly,N,,True,388310.14
CUST_5558DB86,Lisa Martinez,1964-07-21,"125 Cedar St, Jacksonville, FL",2022-05-05,Small Business,pending,clean,low,low,N,2025-10-02,semi-annually,N,,True,121041.56
CUST_038C6D04,Linda Garcia,1954-09-12,"6216 Pine St, New York, NY",2023-11-12,Retail,high-risk,clean,low,low,N,2025-10-27,annually,N,,True,179189.84
CUST_7C567880,Michael Lopez,1991-11-04,"7940 Oak St, Phoenix, AZ",2022-09-04,Small Business,verified,clean,medium,high,N,2025-05-16,monthly,Y,Unusual transaction patterns,False,32487.17
CUST_F05906D6,Anthony Anderson,1961-01-26,"3231 Pine St, Jacksonville, FL",2022-02-07,Retail,verified,cleared,low,low,N,2025-10-29,annually,N,,True,431207.13
CUST_15CBAD63,Sarah Walker,1966-02-26,"8607 Pine St, Chicago, IL",2023-11-03,Retail,pending,clean,medium,low,N,2025-05-14,annually,N,,True,363813.58
CUST_247F4F79,Michael Wilson,1960-09-10,"5876 Cedar St, Columbus, OH",2023-09-09,Retail,verified,clean,low,low,N,2025-08-10,annually,N,,True,138003.12
CUST_F59339B6,Sandra Johnson,1989-07-12,"1201 Oak St, Jacksonville, FL",2022-03-18,Retail,verified,prior_flag,medium,medium,N,2025-07-18,quarterly,N,,True,181713.14
CUST_C4358AB7,Charles Johnson,1992-08-12,"524 Oak St, Charlotte, NC",2023-09-12,Retail,verified,clean,medium,medium,N,2025-09-05,quarterly,N,,False,259354.89
CUST_EC62D37A,Dorothy Moore,1998-05-23,"7392 Main St, Austin, TX",2022-05-01,Retail,pending,clean,high,high,N,2025-07-15,monthly,Y,PEP status,True,334252.06
CUST_9D075822,Matthew Williams,1967-05-28,"3978 Maple St, New York, NY",2023-07-18,Retail,verified,clean,medium,medium,N,2025-09-17,quarterly,N,,True,181087.37
CUST_D70406B4,Charles Lopez,1984-03-20,"5294 Main St, San Francisco, CA",2023-04-24,Small Business,verified,clean,low,low,N,2025-06-13,annually,N,,True,233450.77
CUST_40ADFDA7,Thomas Lopez,2002-09-21,"3794 Pine St, Indianapolis, IN",2022-05-12,Retail,verified,prior_flag,medium,high,N,2025-08-22,monthly,Y,PEP status,True,447568.03
CUST_05EC9F01,Ashley Williams,1989-09-09,"5631 Cedar St, Los Angeles, CA",2022-09-14,Retail,verified,clean,low,low,N,2025-09-25,semi-annually,N,,True,412792.9
CUST_C228900C,John Williams,1998-10-09,"5049 Maple St, San Diego, CA",2022-02-16,Retail,verified,clean,medium,medium,N,2025-08-25,quarterly,N,,True,402539.39
CUST_6300822F,Betty Gonzalez,1953-12-02,"2242 Pine St, Indianapolis, IN",2022-11-01,Retail,verified,clean,low,low,N,2025-08-11,annually,N,,False,281263.96
CUST_F6BE0F7A,William Davis,1966-08-08,"5223 Oak St, Philadelphia, PA",2023-04-23,Retail,pending,clean,low,low,N,2025-08-16,semi-annually,N,,False,249634.51
CUST_47E48E9A,Thomas Anderson,1968-08-01,"7810 Pine St, Seattle, WA",2023-05-26,Retail,verified,clean,low,low,N,2025-07-04,annually,N,,True,5080.53
CUST_02BB2E66,Emily Wilson,1965-12-12,"9108 Pine St, Boston, MA",2022-05-18,Small Business,verified,clean,low,low,N,2025-08-01,semi-annually,N,,True,340518.92
CUST_9E32ED8E,Emily Jones,1972-06-18,"7861 Cedar St, San Francisco, CA",2022-04-10,Corporate,verified,clean,medium,medium,N,2025-10-03,quarterly,N,,True,787256.29
CUST_C21C0565,Mark Taylor,1988-06-06,"372 Pine St, Austin, TX",2022-05-24,Retail,verified,clean,low,low,N,2025-06-16,annually,N,,True,337229.39
CUST_1A31BA08,Linda Jackson,2006-12-28,"2893 Cedar St, Boston, MA",2022-11-12,Retail,expired,clean,low,medium,N,2025-10-25,quarterly,N,,True,387528.46
CUST_D2C22705,Richard Jones,1951-10-23,"8598 Oak St, Seattle, WA",2023-11-29,Retail,verified,clean,low,low,N,2025-10-23,annually,N,,True,163199.72
CUST_B3203FEA,Betty Thomas,1969-03-15,"4138 Pine St, Seattle, WA",2023-06-23,Corporate,verified,clean,low,low,N,2025-06-04,annually,N,,True,1527570.85
CUST_736002F7,Maria Clark,1962-12-23,"2499 Pine St, Los Angeles, CA",2022-10-23,Retail,expired,clean,low,low,N,2025-07-29,annually,N,,True,144527.54
CUST_872412A8,Matthew Williams,1990-05-24,"8800 Oak St, San Diego, CA",2022-12-21,Retail,expired,clean,low,low,N,2025-09-06,semi-annually,N,,True,27193.06
CUST_AE6F244B,Linda Hernandez,1992-03-01,"1069 Main St, Denver, CO",2023-04-29,Corporate,verified,prior_flag,high,high,N,2025-08-26,monthly,Y,Sanctions screening match,True,1199489.99
CUST_C77CCDB2,Margaret Harris,1975-03-02,"9975 Main St, Austin, TX",2022-02-08,Corporate,expired,cleared,low,low,N,2025-11-05,semi-annually,N,,True,1458580.18
CUST_7C12B8AC,Daniel Moore,2005-03-28,"4933 Cedar St, San Antonio, TX",2023-06-21,Retail,verified,clean,low,low,N,2025-11-04,semi-annually,N,,True,88571.96
CUST_341DA479,Ashley Lee,1976-09-11,"4474 Pine St, San Jose, CA",2023-02-20,Retail,verified,clean,low,low,N,2025-08-01,annually,N,,True,291647.92
CUST_BA5A9D2E,Charles Smith,1972-12-08,"4933 Pine St, Boston, MA",2022-09-25,Retail,verified,clean,low,low,N,2025-05-15,annually,N,,True,111203.77
CUST_EA3B554C,David Thomas,1996-10-12,"1441 Cedar St, San Francisco, CA",2022-06-06,Retail,verified,clean,low,low,N,2025-05-17,semi-annually,N,,True,264558.39
CUST_8FD74BE0,Jennifer Williams,1952-09-17,"7398 Main St, San Francisco, CA",2023-08-01,Retail,pending,clean,low,low,N,2025-10-15,annually,N,,True,66840.23
CUST_281E858E,Linda Anderson,1984-08-22,"1144 Cedar St, Los Angeles, CA",2023-08-01,Small Business,verified,clean,medium,medium,N,2025-10-27,quarterly,N,,True,467356.82
CUST_B47E5D4D,Michael Hall,1967-07-06,"6284 Maple St, Chicago, IL",2023-04-29,Small Business,verified,clean,medium,low,N,2025-07-16,annually,N,,True,341682.45
CUST_4B759FA8,Betty Walker,1990-06-04,"9020 Maple St, Seattle, WA",2023-07-07,Retail,verified,clean,low,low,N,2025-08-23,semi-annually,N,,True,190258.96
CUST_814DC7C4,Lisa Davis,1958-05-07,"9831 Main St, San Francisco, CA",2023-04-17,Corporate,verified,clean,medium,high,N,2025-09-07,monthly,Y,PEP status,True,3009035.24
CUST_293D2DBB,Matthew Walker,1996-01-13,"9896 Pine St, San Diego, CA",2022-02-19,Retail,verified,clean,low,low,N,2025-06-13,semi-annually,N,,True,151580.45
CUST_6F2D5570,David Thompson,1975-05-09,"5742 Maple St, Indianapolis, IN",2023-06-18,Retail,pending,clean,medium,medium,N,2025-07-04,quarterly,N,,True,160048.49
CUST_04913391,Linda Wilson,1973-03-25,"6924 Cedar St, Indianapolis, IN",2022-06-02,Retail,pending,clean,low,low,N,2025-06-17,semi-annually,N,,True,67912.28
CUST_C019AE09,Lisa Rodriguez,1990-02-15,"9726 Cedar St, San Antonio, TX",2022-07-28,Small Business,verified,clean,low,low,N,2025-10-20,semi-annually,N,,True,240217.71
CUST_567A5403,Ashley Hall,2007-01-07,"4737 Maple St, San Francisco, CA",2022-12-07,Corporate,high-risk,clean,high,high,N,2025-07-29,monthly,Y,PEP status,True,2691568.13
CUST_E630CBB6,Jennifer Martinez,1981-08-15,"2490 Main St, Dallas, TX",2022-09-25,Retail,verified,prior_flag,high,high,N,2025-10-27,quarterly,Y,High-risk jurisdiction,True,277102.47
CUST_6F2A4111,Charles Jackson,1958-04-11,"2856 Pine St, Philadelphia, PA",2023-03-04,Retail,verified,under_investigation,low,low,N,2025-05-27,annually,Y,Large cash deposits,True,70839.31
CUST_361FDFC2,Nancy Thomas,1983-11-02,"3891 Main St, Phoenix, AZ",2022-07-08,Retail,verified,clean,medium,medium,N,2025-10-03,quarterly,N,,True,5561.59
CUST_6CED6AC2,Thomas Anderson,1988-11-22,"4797 Main St, Indianapolis, IN",2023-01-18,Corporate,verified,clean,high,high,N,2025-06-25,monthly,Y,Large cash deposits,True,4075128.24
CUST_D25068CA,Betty Wilson,2007-02-17,"4084 Oak St, San Jose, CA",2022-07-03,Retail,verified,clean,low,low,N,2025-07-27,annually,N,,True,342336.77
CUST_F8546572,Ashley Williams,1990-01-03,"9370 Main St, Indianapolis, IN",2023-11-01,Retail,verified,clean,low,low,N,2025-05-26,annually,N,,True,459656.96
CUST_54BC0415,Lisa Miller,1985-08-09,"9717 Oak St, Fort Worth, TX",2023-12-10,Retail,pending,clean,low,low,N,2025-11-03,annually,N,,False,464508.6
CUST_9C483560,Maria Garcia,1985-07-22,"1345 Pine St, Boston, MA",2023-08-01,Small Business,verified,cleared,low,high,N,2025-10-13,monthly,Y,Unusual transaction patterns,True,384733.82
CUST_9169A0CA,Karen Gonzalez,1989-05-26,"4939 Oak St, Chicago, IL",2022-12-01,Corporate,expired,clean,medium,medium,N,2025-05-22,quarterly,N,,True,456088.15
CUST_ED6E4D66,David Gonzalez,1989-03-24,"7161 Maple St, Seattle, WA",2023-12-30,Retail,expired,clean,low,medium,N,2025-10-05,quarterly,N,,True,277815.26
CUST_CE6DF88B,Linda Brown,1971-09-03,"6337 Oak St, Phoenix, AZ",2022-01-27,Retail,verified,clean,medium,high,N,2025-06-14,monthly,Y,High-risk jurisdiction,True,135190.56
CUST_4A559394,James Thomas,1959-07-09,"5091 Main St, Fort Worth, TX",2022-05-30,Retail,verified,clean,low,low,N,2025-07-13,semi-annually,N,,True,166776.39
CUST_9C26604D,Karen Gonzalez,1970-07-27,"6624 Pine St, San Jose, CA",2022-12-04,Small Business,verified,clean,medium,medium,N,2025-07-08,quarterly,N,,True,367702.31
CUST_9522FB2A,Daniel Thomas,1964-06-13,"540 Maple St, San Antonio, TX",2023-08-13,Retail,expired,clean,medium,low,N,2025-05-17,semi-annually,N,,True,219789.02
CUST_7D87236D,Maria Robinson,2001-07-22,"7951 Cedar St, Fort Worth, TX",2023-12-11,Retail,verified,clean,low,medium,N,2025-07-16,quarterly,N,,False,267649.33
CUST_1B6D55F2,Dorothy Hall,1983-01-26,"5916 Oak St, Boston, MA",2023-12-10,Corporate,verified,prior_flag,medium,medium,N,2025-09-05,quarterly,N,,True,269268.63
CUST_31DDCB77,Daniel Thompson,1997-06-26,"7686 Cedar St, Indianapolis, IN",2023-10-25,Retail,verified,clean,low,low,N,2025-07-16,semi-annually,N,,True,76221.72
CUST_61EC9F7B,John Thomas,1975-02-04,"7278 Maple St, Austin, TX",2022-04-18,Small Business,verified,clean,medium,medium,N,2025-08-10,quarterly,N,,True,34520.0
CUST_8385319A,Sarah Lewis,1950-06-21,"7670 Oak St, Fort Worth, TX",2023-12-29,Retail,verified,clean,medium,medium,N,2025-08-15,quarterly,N,,True,315250.4
CUST_74BB3C33,Jessica Lee,1974-01-24,"8896 Oak St, Jacksonville, FL",2023-11-05,Retail,verified,clean,low,low,N,2025-06-13,semi-annually,N,,True,163666.47
CUST_A6BD90F1,Joseph Brown,2004-08-17,"4973 Cedar St, Denver, CO",2022-09-26,Corporate,verified,clean,low,low,N,2025-06-02,annually,N,,True,469522.24
CUST_1635D474,David Hernandez,1968-02-06,"2938 Cedar St, Philadelphia, PA",2022-05-01,Retail,verified,clean,low,low,N,2025-05-29,annually,N,,True,245331.37
CUST_CC6362CF,David Garcia,1977-10-02,"7372 Maple St, Philadelphia, PA",2022-11-19,Small Business,verified,clean,high,high,N,2025-07-26,quarterly,Y,Large cash deposits,True,42252.64
CUST_0A6F2AB4,John Lewis,1951-05-08,"8998 Pine St, Seattle, WA",2022-08-14,Retail,verified,clean,low,low,N,2025-06-14,semi-annually,N,,True,411482.85
CUST_73C2D9DF,Sarah Clark,1962-07-04,"2023 Oak St, San Antonio, TX",2023-03-28,Small Business,pending,clean,medium,medium,N,2025-10-16,quarterly,N,,True,405540.66
