audit_id,timestamp,audit_action,entity_type,entity_id,performed_by,description,previous_value,new_value,reason
AUDIT_241E27648D,2022-12-25 00:00:00,rule_updated,rule,payment_to_high_risk_country,Sarah Chen,Rule payment_to_high_risk_country threshold updated,0.61,0.59,Performance optimization based on false positive rate
AUDIT_200413C7FA,2022-05-16 00:00:00,rule_updated,rule,unexpected_country_routing,Michael Rodriguez,Rule unexpected_country_routing threshold updated,0.70,0.59,Performance optimization based on false positive rate
AUDIT_1DFC465C36,2022-05-23 00:00:00,rule_updated,rule,phone_change_before_transfer_24h,Maria Garcia,Rule phone_change_before_transfer_24h threshold updated,0.77,0.64,Performance optimization based on false positive rate
AUDIT_5A9CE0C48B,2022-10-14 00:00:00,rule_updated,rule,phone_change_before_transfer_24h,Jessica Martinez,Rule phone_change_before_transfer_24h threshold updated,0.75,0.55,Performance optimization based on false positive rate
AUDIT_AB0AEE44E1,2023-01-30 00:00:00,rule_updated,rule,phone_change_before_transfer_24h,James Wilson,Rule phone_change_before_transfer_24h threshold updated,0.63,0.64,Performance optimization based on false positive rate
AUDIT_1D80F0BEBC,2023-04-27 00:00:00,rule_updated,rule,phone_change_before_transfer_24h,Sarah Chen,Rule phone_change_before_transfer_24h threshold updated,0.77,0.73,Performance optimization based on false positive rate
AUDIT_FBBEAE6C3F,2022-04-09 00:00:00,rule_updated,rule,large_odd_hours_transaction_5000,Jessica Martinez,Rule large_odd_hours_transaction_5000 threshold updated,0.67,0.76,Performance optimization based on false positive rate
AUDIT_75A9D6774E,2022-07-04 00:00:00,rule_updated,rule,large_odd_hours_transaction_5000,Emily Thompson,Rule large_odd_hours_transaction_5000 threshold updated,0.69,0.75,Performance optimization based on false positive rate
AUDIT_95F113A4F6,2022-11-28 00:00:00,rule_updated,rule,large_odd_hours_transaction_5000,Michael Rodriguez,Rule large_odd_hours_transaction_5000 threshold updated,0.51,0.64,Performance optimization based on false positive rate
AUDIT_BE682216FD,2023-03-11 00:00:00,rule_updated,rule,large_odd_hours_transaction_5000,James Wilson,Rule large_odd_hours_transaction_5000 threshold updated,0.79,0.55,Performance optimization based on false positive rate
AUDIT_2DAB648BD2,2022-03-05 00:00:00,rule_updated,rule,suspicious_chain_70,James Wilson,Rule suspicious_chain_70 threshold updated,0.72,0.78,Performance optimization based on false positive rate
AUDIT_32FEE42B23,2022-08-27 00:00:00,rule_updated,rule,suspicious_chain_70,Jessica Martinez,Rule suspicious_chain_70 threshold updated,0.80,0.55,Performance optimization based on false positive rate
AUDIT_56CAF474A1,2022-03-29 00:00:00,rule_updated,rule,layering_pattern_1,William Taylor,Rule layering_pattern_1 threshold updated,0.77,0.56,Performance optimization based on false positive rate
AUDIT_4352351EB7,2022-06-02 00:00:00,rule_updated,rule,layering_pattern_1,Maria Garcia,Rule layering_pattern_1 threshold updated,0.71,0.67,Performance optimization based on false positive rate
AUDIT_93A0501CFE,2022-09-18 00:00:00,rule_updated,rule,layering_pattern_1,Michael Rodriguez,Rule layering_pattern_1 threshold updated,0.55,0.71,Performance optimization based on false positive rate
AUDIT_39EA6CC73B,2022-04-09 00:00:00,rule_updated,rule,money_mule_72h,Jessica Martinez,Rule money_mule_72h threshold updated,0.78,0.75,Performance optimization based on false positive rate
AUDIT_891E84653B,2022-07-01 00:00:00,rule_updated,rule,money_mule_72h,Emily Thompson,Rule money_mule_72h threshold updated,0.68,0.51,Performance optimization based on false positive rate
AUDIT_8123EC8F2D,2022-05-22 00:00:00,rule_updated,rule,payroll_recent_account_change,James Wilson,Rule payroll_recent_account_change threshold updated,0.52,0.60,Performance optimization based on false positive rate
AUDIT_4A62968240,2022-09-16 00:00:00,rule_updated,rule,payroll_recent_account_change,William Taylor,Rule payroll_recent_account_change threshold updated,0.65,0.52,Performance optimization based on false positive rate
AUDIT_5946BFF5A9,2022-06-11 00:00:00,rule_updated,rule,domestic_to_foreign_switch,Maria Garcia,Rule domestic_to_foreign_switch threshold updated,0.75,0.61,Performance optimization based on false positive rate
AUDIT_F1C184BB63,2022-09-25 00:00:00,rule_updated,rule,domestic_to_foreign_switch,William Taylor,Rule domestic_to_foreign_switch threshold updated,0.70,0.75,Performance optimization based on false positive rate
AUDIT_2594AEE7DB,2022-11-26 00:00:00,rule_updated,rule,domestic_to_foreign_switch,Jessica Martinez,Rule domestic_to_foreign_switch threshold updated,0.63,0.75,Performance optimization based on false positive rate
AUDIT_E9B7AB2A53,2022-03-22 00:00:00,rule_updated,rule,rapid_velocity_pattern,William Taylor,Rule rapid_velocity_pattern threshold updated,0.54,0.72,Performance optimization based on false positive rate
AUDIT_A24E39CE40,2022-06-11 00:00:00,rule_updated,rule,high_risk_merchant_category,David Kim,Rule high_risk_merchant_category threshold updated,0.65,0.55,Performance optimization based on false positive rate
AUDIT_1E7DE3947D,2022-09-03 00:00:00,rule_updated,rule,high_risk_merchant_category,William Taylor,Rule high_risk_merchant_category threshold updated,0.53,0.67,Performance optimization based on false positive rate
AUDIT_598C76B07C,2023-01-20 00:00:00,rule_updated,rule,high_risk_merchant_category,William Taylor,Rule high_risk_merchant_category threshold updated,0.60,0.51,Performance optimization based on false positive rate
AUDIT_D79B571912,2023-07-10 00:00:00,rule_updated,rule,high_risk_merchant_category,William Taylor,Rule high_risk_merchant_category threshold updated,0.59,0.62,Performance optimization based on false positive rate
AUDIT_762C94F39E,2022-03-23 00:00:00,rule_updated,rule,unusual_device_login,James Wilson,Rule unusual_device_login threshold updated,0.51,0.78,Performance optimization based on false positive rate
AUDIT_EE7136D992,2022-08-16 00:00:00,rule_updated,rule,unusual_device_login,David Kim,Rule unusual_device_login threshold updated,0.53,0.75,Performance optimization based on false positive rate
AUDIT_50FA02FCDF,2023-02-11 00:00:00,rule_updated,rule,unusual_device_login,David Kim,Rule unusual_device_login threshold updated,0.58,0.59,Performance optimization based on false positive rate
AUDIT_0839DCFEE0,2023-07-07 00:00:00,rule_updated,rule,unusual_device_login,James Wilson,Rule unusual_device_login threshold updated,0.61,0.51,Performance optimization based on false positive rate
AUDIT_F95E63133A,2023-10-21 00:00:00,rule_updated,rule,unusual_device_login,Emily Thompson,Rule unusual_device_login threshold updated,0.56,0.63,Performance optimization based on false positive rate
AUDIT_036CED0FC9,2022-06-02 00:00:00,rule_updated,rule,kyc_document_expired,Michael Rodriguez,Rule kyc_document_expired threshold updated,0.62,0.65,Performance optimization based on false positive rate
AUDIT_23AABF8BD1,2022-05-28 00:00:00,rule_updated,rule,pep_match_detected,Michael Rodriguez,Rule pep_match_detected threshold updated,0.65,0.54,Performance optimization based on false positive rate
AUDIT_CFB176CB9F,2022-10-27 00:00:00,rule_updated,rule,pep_match_detected,William Taylor,Rule pep_match_detected threshold updated,0.78,0.54,Performance optimization based on false positive rate
AUDIT_AEE92BC07C,2023-04-16 00:00:00,rule_updated,rule,pep_match_detected,Sarah Chen,Rule pep_match_detected threshold updated,0.75,0.58,Performance optimization based on false positive rate
AUDIT_D848E6F849,2023-09-22 00:00:00,rule_updated,rule,pep_match_detected,Maria Garcia,Rule pep_match_detected threshold updated,0.61,0.69,Performance optimization based on false positive rate
AUDIT_E53EF9C432,2022-05-01 00:00:00,rule_updated,rule,sanctions_list_match,Lisa Anderson,Rule sanctions_list_match threshold updated,0.63,0.78,Performance optimization based on false positive rate
AUDIT_F4EEEF4E13,2022-10-03 00:00:00,rule_updated,rule,sanctions_list_match,Sarah Chen,Rule sanctions_list_match threshold updated,0.69,0.61,Performance optimization based on false positive rate
AUDIT_07E80E358A,2022-12-07 00:00:00,rule_updated,rule,sanctions_list_match,Lisa Anderson,Rule sanctions_list_match threshold updated,0.67,0.62,Performance optimization based on false positive rate
AUDIT_96313494B9,2023-07-28 08:31:09,manual_override,alert,ALERT_3F97C3CBD6,Michael Rodriguez,Manual decision: escalate,auto_flag,escalate,Risk score 0.606 reviewed. escalate
AUDIT_866CD86E17,2025-07-24 08:06:32,manual_override,alert,ALERT_5E453B098E,William Taylor,Manual decision: deny,auto_flag,deny,Risk score 0.919 reviewed. deny
AUDIT_7497391146,2023-05-04 05:50:06,manual_override,alert,ALERT_FE71CFADCC,James Wilson,Manual decision: escalate,auto_flag,escalate,"Location check performed: Lagos, Nigeria. escalate"
AUDIT_55233BA2FB,2024-11-20 10:45:36,manual_override,alert,ALERT_2A914432A7,James Wilson,Manual decision: escalate,auto_flag,escalate,Reviewed transaction for Wire Transfer - escalate
AUDIT_44BD025D98,2022-12-12 22:41:50,manual_override,alert,ALERT_4E3D3941FC,James Wilson,Manual decision: escalate,auto_flag,escalate,Risk score 0.795 reviewed. escalate
AUDIT_252298B635,2024-01-08 18:38:45,manual_override,alert,ALERT_E31E3511BB,Emily Thompson,Manual decision: deny,auto_flag,deny,Reviewed transaction for Wire Transfer - deny
AUDIT_F6513CA98E,2025-04-12 11:39:34,manual_override,alert,ALERT_659FCAFBE9,Emily Thompson,Manual decision: deny,auto_flag,deny,Reviewed transaction for Travel - deny
AUDIT_A0AA9D24F5,2023-06-24 10:53:47,manual_override,alert,ALERT_3F6BAC713A,James Wilson,Manual decision: deny,auto_flag,deny,Risk score 0.938 reviewed. deny
AUDIT_3A861AA6F4,2022-01-15 13:42:20,manual_override,alert,ALERT_1E2AB9815D,James Wilson,Manual decision: deny,auto_flag,deny,Reviewed transaction for Grocery - deny
AUDIT_A276B687FF,2022-10-24 09:10:07,manual_override,alert,ALERT_8EF3EA353A,Jessica Martinez,Manual decision: deny,auto_flag,deny,Risk score 0.849 reviewed. deny
AUDIT_4CE0FB3961,2025-05-15 15:59:16,manual_override,alert,ALERT_8674F268B5,William Taylor,Manual decision: deny,auto_flag,deny,Reviewed transaction for Money Transfer - deny
AUDIT_CC2B63F89B,2024-03-06 01:16:15,manual_override,alert,ALERT_404C89045E,Emily Thompson,Manual decision: deny,auto_flag,deny,Risk score 1.000 reviewed. deny
AUDIT_E7813C32B8,2022-07-17 05:20:40,manual_override,alert,ALERT_604E6200A6,Robert Johnson,Manual decision: SAR_filed,auto_flag,SAR_filed,Customer verification completed. Amount $82865.18 - SAR filed - Suspicious Activity Report filed with FinCEN
AUDIT_D02856403A,2024-06-07 17:19:49,manual_override,alert,ALERT_89A2EDE6F2,Michael Rodriguez,Manual decision: escalate,auto_flag,escalate,Risk score 0.943 reviewed. escalate
AUDIT_78B0E0A61A,2022-10-08 00:55:38,manual_override,alert,ALERT_845A686B1C,David Kim,Manual decision: deny,auto_flag,deny,Risk score 0.813 reviewed. deny
AUDIT_C252E4353B,2025-01-03 05:34:46,manual_override,alert,ALERT_A4DB0C5DD3,Maria Garcia,Manual decision: deny,auto_flag,deny,Risk score 0.717 reviewed. deny
AUDIT_429841F872,2022-11-24 22:25:33,manual_override,alert,ALERT_6791F89329,Robert Johnson,Manual decision: SAR_filed,auto_flag,SAR_filed,Risk score 0.950 reviewed. SAR filed - Suspicious Activity Report filed with FinCEN
AUDIT_BF03C7CB3A,2022-09-16 06:30:19,manual_override,alert,ALERT_798887C3C0,Michael Rodriguez,Manual decision: escalate,auto_flag,escalate,Reviewed transaction for Healthcare - escalate
AUDIT_EB982E55DD,2023-05-10 00:41:04,manual_override,alert,ALERT_19A78E015F,Sarah Chen,Manual decision: escalate,auto_flag,escalate,Customer verification completed. Amount $53444.91 - escalate
AUDIT_976B66531B,2024-11-19 04:26:08,manual_override,alert,ALERT_4C43EF9C30,Lisa Anderson,Manual decision: escalate,auto_flag,escalate,Risk score 0.891 reviewed. escalate
AUDIT_3E7E60BF75,2024-04-11 12:01:37,manual_override,alert,ALERT_0D51EB764D,Jessica Martinez,Manual decision: escalate,auto_flag,escalate,"Location check performed: Tehran, Iran. escalate"
AUDIT_5E59E3D633,2024-04-04 09:19:39,manual_override,alert,ALERT_2334C4D596,Sarah Chen,Manual decision: escalate,auto_flag,escalate,Reviewed transaction for Cryptocurrency - escalate
AUDIT_2EAA3AD453,2022-10-29 15:23:58,manual_override,alert,ALERT_B69CEFB747,Michael Rodriguez,Manual decision: SAR_filed,auto_flag,SAR_filed,Reviewed transaction for Money Transfer - SAR filed - Suspicious Activity Report filed with FinCEN
AUDIT_2D46121262,2023-07-05 20:53:04,manual_override,alert,ALERT_B0BC71E8EF,William Taylor,Manual decision: escalate,auto_flag,escalate,Customer verification completed. Amount $59173.05 - escalate
AUDIT_62727248A3,2025-05-12 12:20:58,manual_override,alert,ALERT_3178655781,James Wilson,Manual decision: deny,auto_flag,deny,"Location check performed: Tehran, Iran. deny"
AUDIT_93BAB91B61,2022-01-16 20:49:34,manual_override,alert,ALERT_D618BD9828,James Wilson,Manual decision: SAR_filed,auto_flag,SAR_filed,Risk score 0.902 reviewed. SAR filed - Suspicious Activity Report filed with FinCEN
AUDIT_C74A2712E2,2023-02-16 23:39:11,manual_override,alert,ALERT_2A8F7A0E82,Maria Garcia,Manual decision: deny,auto_flag,deny,Reviewed transaction for Gas Station - deny
AUDIT_A84512F7EA,2024-05-17 09:28:52,manual_override,alert,ALERT_B860743A95,William Taylor,Manual decision: escalate,auto_flag,escalate,Risk score 0.807 reviewed. escalate
AUDIT_26A444D07D,2023-06-01 06:52:15,manual_override,alert,ALERT_FDD787C348,Lisa Anderson,Manual decision: escalate,auto_flag,escalate,Reviewed transaction for Entertainment - escalate
AUDIT_327E5B79FB,2025-08-22 09:03:33,manual_override,alert,ALERT_57D789E5DC,Robert Johnson,Manual decision: deny,auto_flag,deny,Reviewed transaction for Money Transfer - deny
AUDIT_FCBA00DC3C,2022-04-18 15:24:51,manual_override,alert,ALERT_F04D60B363,Lisa Anderson,Manual decision: escalate,auto_flag,escalate,Customer verification completed. Amount $65292.64 - escalate
AUDIT_CCEA40497F,2023-03-29 22:57:27,manual_override,alert,ALERT_F0577E6583,Emily Thompson,Manual decision: deny,auto_flag,deny,Reviewed transaction for Money Transfer - deny
AUDIT_6FD289DDD2,2024-09-07 21:38:43,manual_override,alert,ALERT_F1742EA1D8,Emily Thompson,Manual decision: escalate,auto_flag,escalate,"Location check performed: Caracas, Venezuela. escalate"
AUDIT_5CF94AE9D3,2022-01-17 20:00:37,manual_override,alert,ALERT_F395600909,Emily Thompson,Manual decision: deny,auto_flag,deny,Risk score 0.890 reviewed. deny
AUDIT_9E6A38A591,2022-12-18 16:06:51,manual_override,alert,ALERT_B1763F4D05,Robert Johnson,Manual decision: escalate,auto_flag,escalate,"Location check performed: Beijing, China. escalate"
AUDIT_B65727D66A,2025-04-22 22:09:01,manual_override,alert,ALERT_8ECD2AA576,Sarah Chen,Manual decision: deny,auto_flag,deny,Customer verification completed. Amount $17898.74 - deny
AUDIT_1612100373,2023-04-05 23:32:05,manual_override,alert,ALERT_F974116EB6,Emily Thompson,Manual decision: deny,auto_flag,deny,Risk score 0.949 reviewed. deny
AUDIT_1BFA5E9F5B,2023-10-06 09:20:49,manual_override,alert,ALERT_2EA3138A8A,James Wilson,Manual decision: escalate,auto_flag,escalate,Customer verification completed. Amount $4645.46 - escalate
AUDIT_EBFCE43296,2022-12-27 21:24:38,manual_override,alert,ALERT_E12B93C8E8,David Kim,Manual decision: SAR_filed,auto_flag,SAR_filed,"Location check performed: San Diego, CA. SAR filed - Suspicious Activity Report filed with FinCEN"
AUDIT_01E100360E,2025-11-05 11:15:35,manual_override,alert,ALERT_4018AFDE0D,Emily Thompson,Manual decision: escalate,auto_flag,escalate,"Location check performed: Moscow, Russia. escalate"
AUDIT_268E6F3FF6,2024-11-12 23:28:25,manual_override,alert,ALERT_A19477656B,Maria Garcia,Manual decision: escalate,auto_flag,escalate,Risk score 0.848 reviewed. escalate
AUDIT_FC7137D9B7,2024-11-09 06:53:27,manual_override,alert,ALERT_B95C795988,Robert Johnson,Manual decision: escalate,auto_flag,escalate,"Location check performed: Charlotte, NC. escalate"
AUDIT_4ED8C1AACD,2024-04-22 11:26:53,manual_override,alert,ALERT_62397A1AF3,William Taylor,Manual decision: deny,auto_flag,deny,Customer verification completed. Amount $58372.39 - deny
AUDIT_4F77E97DB7,2024-01-26 11:58:55,manual_override,alert,ALERT_4454B58C0F,James Wilson,Manual decision: deny,auto_flag,deny,Risk score 0.966 reviewed. deny
AUDIT_F56BEF750B,2023-10-06 14:30:57,manual_override,alert,ALERT_E743A19900,Emily Thompson,Manual decision: SAR_filed,auto_flag,SAR_filed,Reviewed transaction for Foreign Transaction - SAR filed - Suspicious Activity Report filed with FinCEN
AUDIT_8C0C978C98,2022-09-15 06:43:05,manual_override,alert,ALERT_F4913DF144,David Kim,Manual decision: escalate,auto_flag,escalate,"Location check performed: Philadelphia, PA. escalate"
AUDIT_1C87C3CC62,2024-04-04 03:07:29,manual_override,alert,ALERT_E735D70E17,David Kim,Manual decision: deny,auto_flag,deny,Risk score 0.882 reviewed. deny
AUDIT_23C2463D13,2025-11-03 16:38:43,manual_override,alert,ALERT_B7CC6EA9D1,Sarah Chen,Manual decision: SAR_filed,auto_flag,SAR_filed,Customer verification completed. Amount $80616.47 - SAR filed - Suspicious Activity Report filed with FinCEN
AUDIT_8281D02669,2023-05-01 11:14:14,manual_override,alert,ALERT_F77DE0C1B1,David Kim,Manual decision: escalate,auto_flag,escalate,Reviewed transaction for Cryptocurrency - escalate
AUDIT_53C32592C5,2023-06-26 09:07:49,manual_override,alert,ALERT_C34CA323C7,Michael Rodriguez,Manual decision: deny,auto_flag,deny,Risk score 0.745 reviewed. deny
AUDIT_4FC684CE4D,2022-09-25 15:07:15,manual_override,alert,ALERT_BDEDC3E3D0,Sarah Chen,Manual decision: escalate,auto_flag,escalate,Customer verification completed. Amount $4593.56 - escalate
AUDIT_830C3C88BF,2024-08-13 17:41:47,manual_override,alert,ALERT_C9835CC45D,Sarah Chen,Manual decision: deny,auto_flag,deny,Risk score 0.965 reviewed. deny
AUDIT_35022076F6,2023-04-15 12:25:31,manual_override,alert,ALERT_C306A047CC,Michael Rodriguez,Manual decision: deny,auto_flag,deny,Risk score 0.891 reviewed. deny
AUDIT_0001FE8DBD,2022-10-11 13:23:16,manual_override,alert,ALERT_EF1A77F29D,Maria Garcia,Manual decision: escalate,auto_flag,escalate,Customer verification completed. Amount $4621.93 - escalate
AUDIT_8B3AF7E6A6,2023-04-03 14:54:59,manual_override,alert,ALERT_C008254A1A,Robert Johnson,Manual decision: escalate,auto_flag,escalate,Reviewed transaction for Foreign Transaction - escalate
AUDIT_9F7AF86CD5,2023-06-23 16:19:25,manual_override,alert,ALERT_650628F212,David Kim,Manual decision: SAR_filed,auto_flag,SAR_filed,"Location check performed: Caracas, Venezuela. SAR filed - Suspicious Activity Report filed with FinCEN"
AUDIT_5B15252FEE,2023-04-15 15:11:21,manual_override,alert,ALERT_2702DD0DBE,Lisa Anderson,Manual decision: escalate,auto_flag,escalate,Reviewed transaction for Foreign Transaction - escalate
AUDIT_159E67A560,2022-09-22 12:20:02,manual_override,alert,ALERT_2C3D59B77F,Lisa Anderson,Manual decision: deny,auto_flag,deny,Risk score 0.839 reviewed. deny
AUDIT_A82AD6C3AD,2022-07-14 19:26:19,manual_override,alert,ALERT_D5110D7531,James Wilson,Manual decision: escalate,auto_flag,escalate,Customer verification completed. Amount $95083.38 - escalate
AUDIT_C280856282,2024-07-09 06:51:35,manual_override,alert,ALERT_5E2DAE3456,Michael Rodriguez,Manual decision: deny,auto_flag,deny,Risk score 0.975 reviewed. deny
AUDIT_6C1A2B3E16,2024-08-23 06:44:32,manual_override,alert,ALERT_4C1DFEBF7B,Lisa Anderson,Manual decision: deny,auto_flag,deny,"Location check performed: Tehran, Iran. deny"
AUDIT_34D5FA5E5D,2024-06-23 11:37:06,manual_override,alert,ALERT_2E2306ED3F,James Wilson,Manual decision: deny,auto_flag,deny,Customer verification completed. Amount $20490.40 - deny
AUDIT_4C1A36145B,2023-05-29 03:38:01,manual_override,alert,ALERT_6982AFCEA1,Sarah Chen,Manual decision: deny,auto_flag,deny,Customer verification completed. Amount $85626.66 - deny
AUDIT_26D64004B0,2023-01-10 23:19:13,manual_override,alert,ALERT_A3269E34E1,Emily Thompson,Manual decision: escalate,auto_flag,escalate,Risk score 0.639 reviewed. escalate
AUDIT_E63CD414FE,2023-10-29 21:53:44,manual_override,alert,ALERT_402DA6093C,Robert Johnson,Manual decision: escalate,auto_flag,escalate,"Location check performed: Jacksonville, FL. escalate"
AUDIT_0EBD899AC8,2024-01-24 10:04:30,manual_override,alert,ALERT_9B9220D711,James Wilson,Manual decision: deny,auto_flag,deny,Risk score 1.000 reviewed. deny
AUDIT_5826C2A9A1,2025-04-13 22:14:49,manual_override,alert,ALERT_862FC3640A,Michael Rodriguez,Manual decision: deny,auto_flag,deny,Reviewed transaction for Money Transfer - deny
AUDIT_1C2C6922B1,2023-07-04 08:39:30,manual_override,alert,ALERT_A4A0E15631,David Kim,Manual decision: escalate,auto_flag,escalate,Risk score 0.754 reviewed. escalate
AUDIT_0D4BADCD88,2024-08-15 10:07:07,manual_override,alert,ALERT_0BDAF9FC19,Robert Johnson,Manual decision: deny,auto_flag,deny,Customer verification completed. Amount $1610.45 - deny
AUDIT_5340FF3C08,2024-07-15 01:37:27,manual_override,alert,ALERT_379E73FC37,Maria Garcia,Manual decision: SAR_filed,auto_flag,SAR_filed,"Location check performed: Dallas, TX. SAR filed - Suspicious Activity Report filed with FinCEN"
AUDIT_C4EE902A31,2025-01-26 13:36:44,manual_override,alert,ALERT_5187F0341E,Maria Garcia,Manual decision: escalate,auto_flag,escalate,Customer verification completed. Amount $2363.04 - escalate
AUDIT_94F691BEB0,2022-12-13 01:27:28,manual_override,alert,ALERT_E89D976859,David Kim,Manual decision: escalate,auto_flag,escalate,Risk score 0.898 reviewed. escalate
AUDIT_5089912727,2023-05-03 10:13:36,manual_override,alert,ALERT_4DEB5B54BD,Emily Thompson,Manual decision: escalate,auto_flag,escalate,Reviewed transaction for Wire Transfer - escalate
AUDIT_C26C89B699,2023-10-30 23:40:36,manual_override,alert,ALERT_EC7D074BBA,Robert Johnson,Manual decision: escalate,auto_flag,escalate,Customer verification completed. Amount $97391.02 - escalate
AUDIT_98E722765E,2024-04-27 17:21:32,manual_override,alert,ALERT_9B2F75D305,Michael Rodriguez,Manual decision: escalate,auto_flag,escalate,Risk score 0.891 reviewed. escalate
AUDIT_916617CE2F,2025-05-13 14:19:27,manual_override,alert,ALERT_968BFB737C,James Wilson,Manual decision: deny,auto_flag,deny,Reviewed transaction for Gambling - deny
AUDIT_B7C6773A61,2022-01-18 17:36:41,manual_override,alert,ALERT_B78401238C,Emily Thompson,Manual decision: escalate,auto_flag,escalate,"Location check performed: Los Angeles, CA. escalate"
AUDIT_60F23FD74B,2024-09-24 02:37:30,manual_override,alert,ALERT_008845251B,Lisa Anderson,Manual decision: escalate,auto_flag,escalate,"Location check performed: Moscow, Russia. escalate"
AUDIT_1346CDE8C3,2023-07-15 09:40:36,manual_override,alert,ALERT_0F3A2B4332,David Kim,Manual decision: SAR_filed,auto_flag,SAR_filed,Risk score 0.928 reviewed. SAR filed - Suspicious Activity Report filed with FinCEN
AUDIT_6427A1239A,2023-03-07 16:44:16,manual_override,alert,ALERT_48E81B3C2E,Emily Thompson,Manual decision: escalate,auto_flag,escalate,Customer verification completed. Amount $77680.76 - escalate
AUDIT_601761A781,2022-08-07 03:56:24,manual_override,alert,ALERT_69598FD360,Lisa Anderson,Manual decision: SAR_filed,auto_flag,SAR_filed,Customer verification completed. Amount $27404.09 - SAR filed - Suspicious Activity Report filed with FinCEN
AUDIT_5BCFDC6012,2024-06-30 16:03:50,manual_override,alert,ALERT_501CD529A1,James Wilson,Manual decision: deny,auto_flag,deny,"Location check performed: San Jose, CA. deny"
AUDIT_E39BDDD2D1,2024-06-03 12:37:02,manual_override,alert,ALERT_B811C3C426,Sarah Chen,Manual decision: SAR_filed,auto_flag,SAR_filed,"Location check performed: Pyongyang, North Korea. SAR filed - Suspicious Activity Report filed with FinCEN"
